line,ref_kind,direct_method,path_expression,tail
2518,db.ref,update,DB_PATH+'/global/transactionReservations/'+txId,".update({lastActivityTs:Date.now(),lastActivityAt:sjNowIso()}).catch(()=>{})       }        if(payMethod==='Kasbon')customerId=await this.en"
2546,db.ref,update,DB_PATH,".update(upd),10000,'TX_WRITE_TIMEOUT')       }catch(e){         var verify=await sjTimeout(db.ref(DB_PATH+'/'+base+'/tx/'+txId).once('value'"
2548,db.ref,once,DB_PATH+'/'+base+'/tx/'+txId,".once('value'),4000,'TX_VERIFY_TIMEOUT').catch(()=>null);         if(!(verify&&verify.exists()))throw e       }       committed=true;       "
2566,db.ref,once,DB_PATH+'/'+activeDate+'/tx/'+txId,.once('value');exists=!!(c&&c.exists())}catch(_){}}       if(exists||committed){         if(txId)await db.ref(DB_PATH+'/global/transactionRe
2568,db.ref,update,DB_PATH+'/global/transactionReservations/'+txId,".update({status:'COMMITTED',committedAt:sjNowIso(),verifiedAfterError:true}).catch(()=>{});         cart=[];if(window.SJPrice)SJPrice.resetS"
2598,db.ref,update,DB_PATH,".update(u),10000,'KASBON_TIMEOUT');clsModal('modal-tambah-kasbon');showToast('Kasbon karyawan tersimpan • '+sjFundLabel(source)+'.','success"
2617,db.ref,once,DB_PATH+'/global/users',".once('value'),9000,'USER_GUARD_TIMEOUT'),users=usersSnap.val()||{},target=users[id];     if(!target)return alert('Pengguna tidak ditemukan."
2627,db.ref,once,DB_PATH+'/'+k,".once('value'),5000,'USER_SHIFT_GUARD_TIMEOUT').catch(()=>null);         if(snap&&this.shiftOwnedByUser(snap.val(),id))return alert('Kasir i"
2632,db.ref,remove,DB_PATH+'/global/users/'+id,".remove();sjAudit('USER_DELETE',id);showToast('Pengguna dihapus.','success')}catch(e){sjSaveError('USER_DELETE',e);alert(sjFriendlyError(e))"
2689,db.ref,once,DB_PATH,".once('value'),12000,'PRE_RESTORE_TIMEOUT'),oldData=old.val();       if(oldData){         sjDownloadBlob(new Blob([JSON.stringify(oldData,nu"
2693,db.ref,set,DB_PATH,".set(this.restoreCandidate),20000,'RESTORE_TIMEOUT');       await db.ref(DB_PATH+'/global/schema').update({version:'59.3',releaseVersion:'59"
2694,db.ref,update,DB_PATH+'/global/schema',".update({version:'59.3',releaseVersion:'59.3.4',restoredAt:sjNowIso(),restoredBy:currentLoginId}).catch(()=>{});       this.restoreCandidate"
2708,db.ref,once,DB_PATH,".once('value'),12000,'PRE_RESTORE_TIMEOUT'),oldData=old.val();if(oldData)sjDownloadBlob(new Blob([JSON.stringify(oldData,null,2)],{type:'app"
2709,db.ref,set,DB_PATH,".set(candidate),20000,'RESTORE_TIMEOUT')}       catch(e){var marker=await sjTimeout(db.ref(DB_PATH+'/global/schema/restoreRequestId').once('"
2710,db.ref,once,DB_PATH+'/global/schema/restoreRequestId',".once('value'),6000,'RESTORE_VERIFY_TIMEOUT').catch(()=>null);if(!(marker&&String(marker.val()||'')===restoreId))throw e}       await db.ref"
2711,db.ref,update,DB_PATH+'/global/schema',".update({version:'59.3',releaseVersion:'59.3.10',restoreRequestId:restoreId,restoredAt:sjNowIso(),restoredBy:currentLoginId}).catch(e=>sjSav"
2807,db.ref,update,DB_PATH+'/global/schema',".update({version:'59.3',releaseVersion:'59.3.4',productOrder:true,notificationAudience:true,archiveProducts:true,mobileFirstUX:true,groupedP"
2865,db.ref,update,DB_PATH,".update(updates),10000,timeoutCode)}     catch(e){       var ok=false;try{ok=!!(await verify())}catch(v){sjSaveError(timeoutCode+'_VERIFY',v"
2876,db.ref,once,DB_PATH+'/'+shift,".once('value'),5000,code+'_VERIFY_TIMEOUT'),d=snap.val()||{},c=d.sessionControl||{},ses=d.sessions?.[sessionId]||{};       if(kind==='START'"
